Nome,Ingredientes,Preço (R$),Categoria
Água 500ml com gás,Água mineral com gás 500ml,"R$ 4,00",Bebidas
"Água 1,5L sem gás","Água mineral sem gás 1,5 litro","R$ 7,00",Bebidas
Delvalle Uva 450ml,Suco Delvalle uva 450ml,"R$ 6,00",Bebidas
Delvalle Laranja 450ml,Suco Delvalle laranja 450ml,"R$ 6,00",Bebidas
Delvalle Frutas Cítricas 450ml,Suco Delvalle frutas cítricas 450ml,"R$ 6,00",Bebidas
Suco de Laranja,Suco da fruta natural,"R$ 8,00",Bebidas
Suco de Limão,Suco da fruta natural,"R$ 8,00",Bebidas
Suco de Acerola sem leite 300ml,Suco de polpa Acerola 300ml sem leite,"R$ 5,00",Bebidas
Suco de Acerola com leite 300ml,Suco de polpa Acerola 300ml com leite,"R$ 6,00",Bebidas
Suco de Abacaxi com Hortelã sem leite 300ml,Suco de polpa Abacaxi com Hortelã 300ml sem leite,"R$ 5,00",Bebidas
Suco de Abacaxi com Hortelã com leite 300ml,Suco de polpa Abacaxi com Hortelã 300ml com leite,"R$ 6,00",Bebidas
Suco de Cajá sem leite 300ml,Suco de polpa Cajá 300ml sem leite,"R$ 5,00",Bebidas
Suco de Cajá com leite 300ml,Suco de polpa Cajá 300ml com leite,"R$ 6,00",Bebidas
Suco de Graviola sem leite 300ml,Suco de polpa Graviola 300ml sem leite,"R$ 5,00",Bebidas
Suco de Graviola com leite 300ml,Suco de polpa Graviola 300ml com leite,"R$ 6,00",Bebidas
Suco de Goiaba sem leite 300ml,Suco de polpa Goiaba 300ml sem leite,"R$ 5,00",Bebidas
Suco de Goiaba com leite 300ml,Suco de polpa Goiaba 300ml com leite,"R$ 6,00",Bebidas
Suco de Maracujá sem leite 300ml,Suco de polpa Maracujá 300ml sem leite,"R$ 5,00",Bebidas
Suco de Maracujá com leite 300ml,Suco de polpa Maracujá 300ml com leite,"R$ 6,00",Bebidas
Cuscuz com Calabresa e Vinagrete,Cuscuz com calabresa e vinagrete,"R$ 12,00",Cuscuz
Cuscuz com Carne de Sol,Cuscuz com carne de sol + fatia de queijo mussarela + vinagrete,"R$ 17,00",Cuscuz
Coxinha,Salgado coxinha,"R$ 5,00",Salgados
Enroladinho,Salgado enroladinho,"R$ 5,00",Salgados
Porção de Batata Frita P,Porção de batatinhas fritas - tamanho P,"R$ 10,00",Batata Frita
Porção de Batata Frita M,Porção de batatinhas fritas - tamanho M,"R$ 12,00",Batata Frita
Porção de Batata Frita G,Porção de batatinhas fritas - tamanho G,"R$ 16,00",Batata Frita
Batata Frita G com Recheio,Batata G com recheio de bacon ou calabresa e cheddar,"R$ 23,00",Batata Frita
Açaí na Tigela 200ml,"3 complementos + 1 creme + 1 fruta + 1 cobertura | Cremes: Cupuaçu, Ninho com Oreo, Ninho com Nutella, Ovomaltine | Coberturas: Chocolate, Morango, Leite condensado | Frutas: Banana, Uva | Complementos: Gotas de chocolate, Chocoball, Ovomaltine, Granola, Farinha Lacta, Leite em pó, Amendoim, Paçoca, M&M, Bis, Sucrilhos, Cereal, Jujuba, Canudinhos Wafer, Marshmallow | Adicionais (R$3,00): Morango, Kiwi, Kit Kat, Nutella | Adicional (R$5,00): Mousse de maracujá","R$ 9,00",Açaí
Açaí na Tigela 300ml,"4 complementos + 1 creme + 1 fruta + 1 cobertura | Cremes: Cupuaçu, Ninho com Oreo, Ninho com Nutella, Ovomaltine | Coberturas: Chocolate, Morango, Leite condensado | Frutas: Banana, Uva | Complementos: Gotas de chocolate, Chocoball, Ovomaltine, Granola, Farinha Lacta, Leite em pó, Amendoim, Paçoca, M&M, Bis, Sucrilhos, Cereal, Jujuba, Canudinhos Wafer, Marshmallow | Adicionais (R$3,00): Morango, Kiwi, Kit Kat, Nutella | Adicional (R$5,00): Mousse de maracujá","R$ 12,00",Açaí
Açaí na Tigela 400ml,"4 complementos + 1 creme + 1 fruta + 1 cobertura | Cremes: Cupuaçu, Ninho com Oreo, Ninho com Nutella, Ovomaltine | Coberturas: Chocolate, Morango, Leite condensado | Frutas: Banana, Uva | Complementos: Gotas de chocolate, Chocoball, Ovomaltine, Granola, Farinha Lacta, Leite em pó, Amendoim, Paçoca, M&M, Bis, Sucrilhos, Cereal, Jujuba, Canudinhos Wafer, Marshmallow | Adicionais (R$3,00): Morango, Kiwi, Kit Kat, Nutella | Adicional (R$5,00): Mousse de maracujá","R$ 14,00",Açaí
Açaí na Tigela 500ml,"5 complementos + 1 creme + 1 fruta + 1 cobertura | Cremes: Cupuaçu, Ninho com Oreo, Ninho com Nutella, Ovomaltine | Coberturas: Chocolate, Morango, Leite condensado | Frutas: Banana, Uva | Complementos: Gotas de chocolate, Chocoball, Ovomaltine, Granola, Farinha Lacta, Leite em pó, Amendoim, Paçoca, M&M, Bis, Sucrilhos, Cereal, Jujuba, Canudinhos Wafer, Marshmallow | Adicionais (R$3,00): Morango, Kiwi, Kit Kat, Nutella | Adicional (R$5,00): Mousse de maracujá","R$ 16,00",Açaí
